,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-26 19:00:00,2,1,553,1205,358,1377,-0.3624923365984122,0.31937734322820704,-0.5656372293394292,0.49886740044359396
2019-08-26 20:00:00,2,1,387,868,55,1074,-0.5358445349335101,-0.033434842554974545,-0.8822948373866384,0.18231690256971844
2019-08-26 21:00:00,2,1,242,564,0,786,-0.6872666358888669,-0.3500298170564648,-0.9337191588231026,-0.11856603342601002
2019-08-26 22:00:00,2,1,177,276,0,533,-0.7551455087309233,-0.6509331186425606,-0.9337191588231026,-0.3832511695948322
2019-08-26 23:00:00,2,1,69,23,0,410,-0.8679288666838787,-0.9156253342425514,-0.9337191588231026,-0.5115251822043073
2019-08-27 00:00:00,2,1,33,0,0,369,-0.9055233193348639,-0.9337191588231026,-0.9337191588231026,-0.5538050341607064
2019-08-27 01:00:00,2,1,12,0,0,343,-0.9274534167146051,-0.9337191588231026,-0.9337191588231026,-0.5808018354754406
2019-08-27 02:00:00,2,1,15,0,0,341,-0.9243205456603564,-0.9337191588231026,-0.9337191588231026,-0.5835032092899822
2019-08-27 03:00:00,2,1,8,0,0,337,-0.9316305781202702,-0.9337191588231026,-0.9337191588231026,-0.5870262677296789
2019-08-27 04:00:00,2,1,24,0,0,396,-0.9149219324976101,-0.9337191588231026,-0.9337191588231026,-0.5255340407449173
2019-08-27 05:00:00,2,1,12,0,0,639,-0.9274534167146051,-0.9337191588231026,-0.9337191588231026,-0.2721321728064826
2019-08-27 06:00:00,2,1,95,129,34,1054,-0.8407773175470561,-0.8047013636817725,-0.9041707229778404,0.16095205955691388
2019-08-27 07:00:00,2,1,232,544,813,1833,-0.6977095394030295,-0.3716518586292154,-0.09091289698139315,0.9742794038869743
2019-08-27 08:00:00,2,1,557,1323,448,1468,-0.35831517519274714,0.4416452009507868,-0.47122936359902795,0.5940126087170954
2019-08-27 09:00:00,2,1,708,958,431,1451,-0.20062733212889292,0.061355630250929466,-0.48897175212334937,0.5763116014264873
2019-08-27 10:00:00,2,1,899,941,773,1793,-0.001167875008388537,0.04363121254261203,-0.13232494174148052,0.933011005600928
2019-08-27 11:00:00,2,1,1339,1283,1628,2649,0.4583198796147629,0.40030234418213023,0.7611116562602335,1.8265088156991278
2019-08-27 12:00:00,2,1,2590,2139,1699,2719,1.7647271092364956,1.2937688174970117,0.8343213085802519,1.8997828928906728
2019-08-27 13:00:00,2,1,2925,2209,1328,2349,2.1145643769609404,1.3670131421159675,0.44785032017489945,1.5133654394269724
2019-08-27 14:00:00,2,1,1991,1839,1314,2334,1.1391971887381598,0.9805702434284519,0.4328040208027346,1.498367146255323
2019-08-27 15:00:00,2,1,1996,1824,1570,2591,1.1444186404952412,0.965547011447626,0.7004742930968761,1.7660893753513178
2019-08-27 16:00:00,2,1,1907,2081,2222,3243,1.0514767992191947,1.2332420107740916,1.380980738558252,2.446653174432207
2019-08-27 17:00:00,2,1,1873,2732,1500,2520,1.0159709272710422,1.913776406352261,0.6266043131365553,1.692337265385651
2019-08-27 18:00:00,2,1,1343,2010,827,1848,0.4624970410204279,1.1594314758580115,-0.07571025016838423,0.9900777729655612
2019-08-27 19:00:00,2,1,581,1337,471,1492,-0.33325220675875705,0.4571452496848695,-0.44735749976170996,0.6184821767322398
2019-08-27 20:00:00,2,1,334,982,211,1232,-0.5911919235585716,0.08552363862670355,-0.7192226223094604,0.3466695257402075
