date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-31 20:00:00,22,1,2326,2868,2433,3806,0.3927939459656962,0.8052408424605553,0.4745711714399282,1.5184631632997598
2019-08-31 21:00:00,22,1,2018,3123,2166,3538,0.1585719041359017,0.9994153190288904,0.2712308153305437,1.3151683381369237
2019-08-31 22:00:00,22,1,1662,2856,1615,2988,-0.11215227408295173,0.7960975439203202,-0.14715283229532378,0.896830258564207
2019-08-31 23:00:00,22,1,1402,2306,863,2236,-0.3098721795236873,0.37773686213965096,-0.7191580977961253,0.3248705321053703
2019-09-01 00:00:00,22,1,745,1554,473,1846,-0.8094951713489309,-0.1942457977239456,-1.01606175256342,0.028012419099124053
2019-09-01 01:00:00,22,1,596,1163,15,1388,-0.9228038863899678,-0.4911265389759139,-1.3410575325146008,-0.32006783863534205
2019-09-01 02:00:00,22,1,397,705,0,1198,-1.0741356601696077,-0.8392296678491082,-1.3410575325146008,-0.4647892236722353
2019-09-01 03:00:00,22,1,316,515,0,1089,-1.135733015326145,-0.983973608273246,-1.3410575325146008,-0.5474580360267471
2019-09-01 04:00:00,22,1,243,406,0,990,-1.1912466810845048,-1.0666652690813567,-1.3410575325146008,-0.6225701548224671
2019-09-01 05:00:00,22,1,200,308,0,1104,-1.2239465115997037,-1.1418000515540832,-1.3410575325146008,-0.5362446468431395
2019-09-01 06:00:00,22,1,224,421,0,1224,-1.205695443405174,-1.0554974689659762,-1.3410575325146008,-0.4451294328357096
2019-09-01 07:00:00,22,1,362,541,68,1441,-1.10075180128663,-0.9644050309687277,-1.3242114357236463,-0.2798182354715386
2019-09-01 08:00:00,22,1,736,758,406,1780,-0.8163393219218794,-0.7991167639911394,-1.0666913548583656,-0.022252691356273724
2019-09-01 09:00:00,22,1,1087,1097,1076,2449,-0.5494174495768863,-0.5415738576965035,-0.5575584757486896,0.4869256546582557
2019-09-01 10:00:00,22,1,1618,1766,1542,2916,-0.14561256577292234,-0.032418292192392346,-0.20266173528988013,0.8418680382377188
2019-09-01 11:00:00,22,1,1894,2233,1835,3209,0.06427471846416624,0.32250141696952617,0.019892543126323048,1.0644680956212391
2019-09-01 12:00:00,22,1,2186,2526,2202,3576,0.2863293814976078,0.5450785606691606,0.29902633639880616,1.3436481321145364
2019-09-01 13:00:00,22,1,2705,2893,2355,3728,0.681008731204307,0.8242356094481216,0.4148526137436229,1.4595207637731642
2019-09-01 14:00:00,22,1,2799,3045,2153,3527,0.7524920816328807,0.9400850259260136,0.2616031365843199,1.3063173871013407
2019-09-01 15:00:00,22,1,2683,2844,2137,3511,0.6642785853593217,0.7868586715752331,0.2497256478911991,1.2944858437819344
2019-09-01 16:00:00,22,1,2339,2828,2095,3469,0.402679941237733,0.7750041627969059,0.2174484801106813,1.262254675006896
2019-09-01 17:00:00,22,1,2443,2786,1983,3357,0.4817679034140273,0.7427501939359744,0.13242289891891454,1.177275189232267
2019-09-01 18:00:00,22,1,2167,2674,1454,2828,0.2718806191769387,0.6577477749559958,-0.2701721943666865,0.7747272474133055
2019-09-01 19:00:00,22,1,1753,2145,1170,2544,-0.04295030717869423,0.2551765592869328,-0.4860655797880986,0.5588819104755842
2019-09-01 20:00:00,22,1,1648,1861,566,1940,-0.12279873052976055,0.039307367401454116,-0.9454606032309474,0.09953518347231888
2019-09-01 21:00:00,22,1,1257,1257,378,1752,-0.4201390498656361,-0.4200633183464417,-1.0885389168248785,-0.04349468199908146
2019-09-01 22:00:00,22,1,1065,1068,47,1421,-0.5661475954218717,-0.5631172347960784,-1.3397652395473492,-0.2946729078040172
2019-09-01 23:00:00,22,1,638,738,0,967,-0.8908645170495413,-0.8143191992697211,-1.3410575325146008,-0.6403276864190786
2019-09-02 00:00:00,22,1,202,395,0,909,-1.2224255892501594,-1.0752524817452809,-1.3410575325146008,-0.6846523065902127
2019-08-26 00:00:00,23,2,24,32,0,81,-0.9234702719611028,-0.903682365273244,-0.9778858934827502,-0.7805849991303273
2019-08-26 01:00:00,23,2,9,0,0,220,-0.9605718320894988,-0.9778858934827502,-0.9778858934827502,-0.4378436530127008
2019-08-26 02:00:00,23,2,16,53,0,182,-0.9432577706962474,-0.8509848580012704,-0.9778858934827502,-0.5322821471045707
2019-08-26 03:00:00,23,2,11,0,0,229,-0.9556249574057126,-0.9778858934827502,-0.9778858934827502,-0.4154471681659222
2019-08-26 04:00:00,23,2,13,43,0,167,-0.9506780827219266,-0.8750688115955723,-0.9778858934827502,-0.5673430519116545
2019-08-26 05:00:00,23,2,48,0,3,380,-0.8641077757556694,-0.9778858934827502,-0.9742450667076592,-0.041341593331885314
2019-08-26 06:00:00,23,2,262,195,518,896,-0.3347921845905547,-0.4999938617995962,0.29874196485560506,1.234557788170108
2019-08-26 07:00:00,23,2,659,705,1402,1780,0.64716244014099,0.7627618309572305,2.48562471329285,3.422081242981272
2019-08-26 08:00:00,23,2,1428,1592,725,1103,2.5492357560567527,2.956082911777784,0.8106848705465424,1.7473183520167548
2019-08-26 09:00:00,23,2,891,912,320,699,1.2209999034601795,1.2740333511052973,-0.19112652108350756,0.7465397914442464
2019-08-26 10:00:00,23,2,521,514,333,714,0.3058280869597477,0.28884308247106466,-0.15873718170774492,0.7848378281315505
2019-08-26 11:00:00,23,2,528,523,871,1252,0.32314214835299915,0.3124187651920461,1.1728136955717003,2.1163548453847696
2019-08-26 12:00:00,23,2,1164,1062,718,1099,1.8962482977969848,1.6462684237899643,0.7935813856953752,1.7372112871544712
2019-08-26 13:00:00,23,2,987,906,319,701,1.4584498882819137,1.2605480806760037,-0.1922677548750134,0.7523689294189364
2019-08-26 14:00:00,23,2,548,511,287,669,0.3726108951908603,0.28303564407272563,-0.270984107202727,0.6739888482954861
2019-08-26 15:00:00,23,2,677,480,543,926,0.6916843122950649,0.20621352533763415,0.36160698375924427,1.307581986815075
2019-08-26 16:00:00,23,2,758,736,1057,1440,0.8920327369884028,0.838092034440466,1.6325566272951009,2.5790802628162584
2019-08-26 17:00:00,23,2,1239,1247,443,826,2.0817560984389645,2.103013491743454,0.11509986267155298,1.0619241333155085
2019-08-26 18:00:00,23,2,612,634,117,500,0.5309108850720161,0.5874156411466088,-0.6914726081707765,0.2553134937744068
2019-08-26 19:00:00,23,2,317,309,26,408,-0.1987531307864364,-0.2166015395216068,-0.9180178220096852,0.02877637562336799
2019-08-26 20:00:00,23,2,221,220,0,353,-0.43620311560817016,-0.4382302025281165,-0.9778858934827502,-0.10821204829624388
2019-08-26 21:00:00,23,2,142,162,0,305,-0.6316046656177219,-0.5818210901208559,-0.9778858934827502,-0.2283200652552722
2019-08-26 22:00:00,23,2,112,112,0,253,-0.7058077858745136,-0.7039154972767381,-0.9778858934827502,-0.35697186316340623
2019-08-26 23:00:00,23,2,59,60,0,197,-0.8368999649948458,-0.8333989578726126,-0.9778858934827502,-0.4935176238314779
2019-08-27 00:00:00,23,2,31,7,0,168,-0.9061562105678516,-0.9640076128955528,-0.9778858934827502,-0.5663515844878353
2019-08-27 01:00:00,23,2,12,0,0,186,-0.9531515200638196,-0.9778858934827502,-0.9778858934827502,-0.5207373301823202
2019-08-27 02:00:00,23,2,10,0,0,220,-0.9580983947476056,-0.9778858934827502,-0.9778858934827502,-0.4383784097463729
2019-08-27 03:00:00,23,2,19,26,0,200,-0.9358374586705682,-0.9161091849697441,-0.9778858934827502,-0.4869846428567961
2019-08-27 04:00:00,23,2,7,8,0,218,-0.9655187067732848,-0.962421650262516,-0.9778858934827502,-0.4419980860081663
2019-08-27 05:00:00,23,2,52,27,63,447,-0.8542140263880972,-0.9137494364514848,-0.8261146443258718,0.12481244331522763
2019-08-27 06:00:00,23,2,287,257,599,984,-0.2729562510432282,-0.3461993893558496,0.5007653174006118,1.452589221120328
2019-08-27 07:00:00,23,2,707,792,1457,1842,0.7658874325518568,0.9766874262995608,2.6223023672328014,3.5740731866748785
2019-08-27 08:00:00,23,2,1548,1649,652,1037,2.8460482370839197,3.0963262934689704,0.6315114768172674,1.5833626880735845
2019-08-27 09:00:00,23,2,905,845,382,767,1.2556280262466826,1.107547867489469,-0.03703143058586922,0.9147234079573032
2019-08-27 10:00:00,23,2,551,576,366,751,0.3800312072165395,0.44306404834943786,-0.07631960051221104,0.8762141288201146
2019-08-27 11:00:00,23,2,506,560,805,1190,0.26872652683135184,0.4032986050866089,1.0085234135258323,1.9615440158419724
2019-08-27 12:00:00,23,2,1013,997,757,1143,1.5227592591711332,1.4848732588711209,0.8917000715460914,1.844665561129858
2019-08-27 13:00:00,23,2,988,949,410,796,1.4609233256238068,1.3662503840915692,0.03333077364927412,0.9863833322519304
2019-08-27 14:00:00,23,2,610,603,356,741,0.52596401038823,0.5110469657418761,-0.1019478493276244,0.8510823472184159
2019-08-27 15:00:00,23,2,588,550,602,987,0.4715483888665827,0.37857860392444265,0.5065387355579194,1.46026981682181
2019-08-27 16:00:00,23,2,865,796,1039,1424,1.1566905325709602,0.9863301091171902,1.5874044973241384,2.5414955796133425
